Date,Open,High,Low,Close,Adj Close,Volume
2020-09-21,0.630000,0.650000,0.610000,0.640000,0.640000,4949300
2020-09-22,0.640000,0.640000,0.610000,0.640000,0.640000,4375900
2020-09-23,0.640000,0.640000,0.580000,0.590000,0.590000,4731100
2020-09-24,0.610000,0.630000,0.570000,0.590000,0.590000,5057100
2020-09-25,0.590000,0.620000,0.580000,0.590000,0.590000,3697700
2020-09-28,0.610000,0.610000,0.580000,0.590000,0.590000,3670000
2020-09-29,0.620000,0.620000,0.590000,0.600000,0.600000,4024400
2020-09-30,0.640000,0.720000,0.620000,0.650000,0.650000,15693800
2020-10-01,0.630000,0.640000,0.610000,0.630000,0.630000,4980200
2020-10-02,0.600000,0.620000,0.580000,0.620000,0.620000,4754000
2020-10-05,0.620000,0.630000,0.610000,0.620000,0.620000,5194100
2020-10-06,0.650000,0.650000,0.620000,0.620000,0.620000,5054700
2020-10-07,0.620000,0.620000,0.600000,0.610000,0.610000,3481800
2020-10-08,0.620000,0.630000,0.610000,0.610000,0.610000,2962200
2020-10-09,0.610000,0.620000,0.590000,0.610000,0.610000,4604400
2020-10-12,0.610000,0.610000,0.590000,0.600000,0.600000,6371300
2020-10-13,0.600000,0.600000,0.590000,0.590000,0.590000,3326100
2020-10-14,0.590000,0.600000,0.590000,0.590000,0.590000,2419700
2020-10-15,0.590000,0.590000,0.570000,0.580000,0.580000,5085800
2020-10-16,0.590000,0.590000,0.570000,0.570000,0.570000,2516200
2020-10-19,0.570000,0.570000,0.550000,0.560000,0.560000,2803900
2020-10-20,0.560000,0.570000,0.540000,0.550000,0.550000,2825300
2020-10-21,0.550000,0.550000,0.520000,0.530000,0.530000,3405100
2020-10-22,0.530000,0.550000,0.490000,0.540000,0.540000,3736700
2020-10-23,0.540000,0.540000,0.520000,0.540000,0.540000,1344800
2020-10-26,0.540000,0.560000,0.530000,0.540000,0.540000,4181600
2020-10-27,0.550000,0.550000,0.520000,0.530000,0.530000,1907900
2020-10-28,0.520000,0.520000,0.490000,0.510000,0.510000,2707200
2020-10-29,0.510000,0.530000,0.500000,0.520000,0.520000,3353100
2020-10-30,0.510000,0.520000,0.480000,0.490000,0.490000,4069500
2020-11-02,0.490000,0.510000,0.490000,0.500000,0.500000,2506600
2020-11-03,0.500000,0.520000,0.500000,0.510000,0.510000,2575000
2020-11-04,0.500000,0.510000,0.490000,0.490000,0.490000,2958200
2020-11-05,0.500000,0.500000,0.490000,0.500000,0.500000,1969000
2020-11-06,0.500000,0.500000,0.470000,0.480000,0.480000,4012200
2020-11-09,0.490000,0.520000,0.480000,0.500000,0.500000,4085800
2020-11-10,0.500000,0.530000,0.490000,0.530000,0.530000,3940900
2020-11-11,0.540000,0.560000,0.530000,0.560000,0.560000,4534900
2020-11-12,0.610000,0.640000,0.560000,0.570000,0.570000,11008300
2020-11-13,0.510000,0.540000,0.500000,0.520000,0.520000,6200400
2020-11-16,0.500000,0.520000,0.500000,0.500000,0.500000,3491500
2020-11-17,0.510000,0.550000,0.510000,0.530000,0.530000,4505400
2020-11-18,0.530000,0.550000,0.510000,0.510000,0.510000,3132700
2020-11-19,0.510000,0.520000,0.500000,0.510000,0.510000,2985600
2020-11-20,0.510000,0.530000,0.500000,0.520000,0.520000,5537300
2020-11-23,0.520000,0.520000,0.500000,0.500000,0.500000,5413000
2020-11-24,0.500000,0.510000,0.490000,0.490000,0.490000,5613300
2020-11-25,0.490000,0.500000,0.490000,0.490000,0.490000,4187200
2020-11-27,0.500000,0.500000,0.480000,0.490000,0.490000,2903500
2020-11-30,0.480000,0.490000,0.480000,0.490000,0.490000,4881100
2020-12-01,0.490000,0.530000,0.490000,0.500000,0.500000,16671300
2020-12-02,0.510000,0.510000,0.490000,0.490000,0.490000,8500100
2020-12-03,0.500000,0.510000,0.490000,0.500000,0.500000,4796100
2020-12-04,0.500000,0.500000,0.490000,0.500000,0.500000,3919500
2020-12-07,0.500000,0.550000,0.500000,0.530000,0.530000,10262500
2020-12-08,0.540000,0.540000,0.510000,0.520000,0.520000,4244200
2020-12-09,0.520000,0.540000,0.500000,0.510000,0.510000,6143900
2020-12-10,0.500000,0.510000,0.490000,0.500000,0.500000,5902100
2020-12-11,0.500000,0.510000,0.490000,0.500000,0.500000,4403600
2020-12-14,0.500000,0.510000,0.500000,0.500000,0.500000,3792900
2020-12-15,0.500000,0.520000,0.500000,0.510000,0.510000,5511900
2020-12-16,0.510000,0.520000,0.490000,0.510000,0.510000,4934100
2020-12-17,0.510000,0.540000,0.500000,0.530000,0.530000,8449200
2020-12-18,0.530000,0.550000,0.520000,0.540000,0.540000,8845100
2020-12-21,0.580000,0.590000,0.550000,0.560000,0.560000,15022500
2020-12-22,0.550000,0.560000,0.520000,0.550000,0.550000,8570700
2020-12-23,0.570000,0.820000,0.560000,0.780000,0.780000,86868500
2020-12-24,0.750000,0.750000,0.660000,0.710000,0.710000,14085100
2020-12-28,0.880000,1.020000,0.830000,0.880000,0.880000,69362800
2020-12-29,0.950000,1.490000,0.930000,1.330000,1.330000,287232200
2020-12-30,1.930000,2.970000,1.840000,2.100000,2.100000,805430800
2020-12-31,2.930000,3.470000,2.570000,3.080000,3.080000,483750800
2021-01-04,5.210000,7.240000,4.510000,7.200000,7.200000,583898300
2021-01-05,5.300000,5.840000,4.280000,4.950000,4.950000,236533800
2021-01-06,4.600000,5.790000,4.390000,4.770000,4.770000,170457300
2021-01-07,4.930000,5.180000,4.720000,5.000000,5.000000,92321300
2021-01-08,4.130000,4.890000,3.910000,4.700000,4.700000,137183800
2021-01-11,5.930000,6.080000,5.230000,5.670000,5.670000,144458300
2021-01-12,5.800000,5.850000,5.250000,5.360000,5.360000,60034300
2021-01-13,5.360000,5.630000,5.060000,5.630000,5.630000,56183600
2021-01-14,5.720000,7.950000,5.540000,6.950000,6.950000,235016100
2021-01-15,7.630000,9.500000,7.500000,8.430000,8.430000,236436200
2021-01-19,9.310000,9.950000,8.930000,9.140000,9.140000,138334100
2021-01-20,7.970000,8.450000,7.520000,8.050000,8.050000,125881700
2021-01-21,8.580000,8.700000,8.080000,8.270000,8.270000,54406100
2021-01-22,8.970000,9.800000,8.580000,9.800000,9.800000,115879800
2021-01-25,11.310000,13.650000,10.450000,12.580000,12.580000,153702600
2021-01-26,13.430000,13.850000,11.880000,12.210000,12.210000,78763400
2021-01-27,10.940000,12.000000,9.450000,11.040000,11.040000,69710600
2021-01-28,11.380000,11.400000,9.600000,10.530000,10.530000,49227500
2021-01-29,10.790000,11.600000,10.460000,11.050000,11.050000,36886800
2021-02-01,11.380000,11.400000,10.390000,10.760000,10.760000,37774200
2021-02-02,12.490000,12.700000,11.350000,12.020000,12.020000,61687100
2021-02-03,11.910000,12.300000,11.630000,11.850000,11.850000,27913700
2021-02-04,11.560000,11.600000,11.010000,11.180000,11.180000,28838200
2021-02-05,11.120000,11.250000,10.590000,11.050000,11.050000,33373300
2021-02-08,10.990000,11.940000,10.720000,11.650000,11.650000,36409400
2021-02-09,12.410000,12.670000,11.700000,11.800000,11.800000,35564200
2021-02-10,11.970000,12.140000,11.070000,11.380000,11.380000,28702500
2021-02-11,11.410000,12.360000,11.130000,11.700000,11.700000,33094600
2021-02-12,11.720000,14.440000,11.460000,13.700000,13.700000,101425100
2021-02-16,14.590000,15.690000,14.070000,15.570000,15.570000,55178600
2021-02-17,14.710000,15.090000,13.600000,14.540000,14.540000,32034500
2021-02-18,13.590000,13.810000,12.500000,12.820000,12.820000,28869300
2021-02-19,13.480000,14.350000,13.230000,13.570000,13.570000,20448000
2021-02-22,12.770000,13.380000,11.610000,11.850000,11.850000,28809400
2021-02-23,10.110000,10.780000,8.050000,10.220000,10.220000,57766700
2021-02-24,10.600000,11.530000,10.400000,11.190000,11.190000,24608200
2021-02-25,10.580000,10.920000,9.750000,10.020000,10.020000,23971800
2021-02-26,10.090000,10.710000,9.380000,9.730000,9.730000,26459800
2021-03-01,10.040000,10.260000,9.770000,9.840000,9.840000,17849400
2021-03-02,10.000000,10.460000,9.460000,9.480000,9.480000,15447400
2021-03-03,9.570000,9.590000,8.450000,8.550000,8.550000,27574500
2021-03-04,8.010000,8.430000,6.600000,6.900000,6.900000,50731600
2021-03-05,7.400000,7.410000,5.580000,7.150000,7.150000,59736800
2021-03-08,7.710000,8.950000,7.200000,7.770000,7.770000,66906400
2021-03-09,8.340000,9.340000,7.950000,9.020000,9.020000,39047100
2021-03-10,9.520000,9.550000,8.320000,8.670000,8.670000,37119900
2021-03-11,8.930000,9.560000,8.710000,9.530000,9.530000,23225600
2021-03-12,9.000000,9.460000,8.830000,9.380000,9.380000,17758600
2021-03-15,9.390000,9.830000,9.130000,9.670000,9.670000,17132800
2021-03-16,9.590000,9.660000,8.500000,8.730000,8.730000,23391200
2021-03-17,8.430000,9.350000,8.300000,9.290000,9.290000,19876300
2021-03-18,9.050000,9.240000,8.550000,8.590000,8.590000,15206300
2021-03-19,8.680000,9.140000,8.470000,9.030000,9.030000,15972300
2021-03-22,9.260000,9.330000,8.820000,9.050000,9.050000,18429400
2021-03-23,8.900000,9.030000,8.320000,8.370000,8.370000,19293300
2021-03-24,8.790000,8.790000,7.360000,7.430000,7.430000,33571800
2021-03-25,6.980000,7.920000,6.920000,7.900000,7.900000,24630800
2021-03-26,7.900000,8.030000,7.380000,7.750000,7.750000,16810100
2021-03-29,7.620000,7.820000,7.270000,7.350000,7.350000,13943000
2021-03-30,7.210000,7.840000,7.040000,7.720000,7.720000,14140800
2021-03-31,7.900000,8.330000,7.750000,8.080000,8.080000,24191900
2021-04-01,8.400000,8.430000,7.760000,7.830000,7.830000,15183400
2021-04-05,8.030000,8.230000,7.860000,8.170000,8.170000,10966700
2021-04-06,8.070000,8.150000,7.830000,7.850000,7.850000,10282300
2021-04-07,7.810000,7.930000,7.330000,7.400000,7.400000,14099100
2021-04-08,7.420000,7.780000,7.270000,7.530000,7.530000,13025600
2021-04-09,7.380000,7.480000,7.170000,7.290000,7.290000,9971700
2021-04-12,7.170000,7.370000,6.710000,6.740000,6.740000,19271700
2021-04-13,6.820000,7.070000,6.680000,6.890000,6.890000,13802800
2021-04-14,6.800000,6.820000,6.400000,6.430000,6.430000,18061200
2021-04-15,6.480000,6.510000,5.820000,6.110000,6.110000,27063700
2021-04-16,5.640000,5.780000,5.380000,5.660000,5.660000,23224800
2021-04-19,5.440000,5.700000,5.120000,5.270000,5.270000,18825700
2021-04-20,5.180000,6.070000,5.130000,5.380000,5.380000,35558500
2021-04-21,5.340000,5.960000,5.160000,5.910000,5.910000,28308800
2021-04-22,6.560000,6.950000,5.790000,5.960000,5.960000,74919000
2021-04-23,6.010000,6.420000,5.820000,6.160000,6.160000,26025000
2021-04-26,6.360000,7.620000,6.280000,7.620000,7.620000,56762400
2021-04-27,7.560000,7.730000,6.830000,7.050000,7.050000,39510300
2021-04-28,6.930000,7.090000,6.770000,6.970000,6.970000,15086600
2021-04-29,6.980000,7.020000,6.370000,6.610000,6.610000,21814400
2021-04-30,6.500000,6.780000,6.330000,6.370000,6.370000,15204600
2021-05-03,6.420000,6.480000,5.890000,5.990000,5.990000,19712100
2021-05-04,5.800000,5.970000,5.530000,5.790000,5.790000,18687100
2021-05-05,5.830000,5.980000,5.460000,5.540000,5.540000,18064400
2021-05-06,5.400000,5.550000,5.060000,5.310000,5.310000,23449800
2021-05-07,5.420000,5.730000,5.320000,5.410000,5.410000,16195500
2021-05-10,5.520000,5.540000,4.930000,5.010000,5.010000,20808700
2021-05-11,4.510000,5.190000,4.460000,5.120000,5.120000,19699600
2021-05-12,4.950000,5.170000,4.700000,4.740000,4.740000,16367700
2021-05-13,4.830000,4.940000,4.300000,4.410000,4.410000,30359400
2021-05-14,5.270000,5.580000,4.990000,5.400000,5.400000,103762100
2021-05-17,5.230000,5.850000,5.170000,5.600000,5.600000,43934100
2021-05-18,5.610000,5.980000,5.500000,5.820000,5.820000,21279600
2021-05-19,5.490000,5.640000,5.300000,5.600000,5.600000,19720800
2021-05-20,5.700000,5.820000,5.440000,5.620000,5.620000,16477200
2021-05-21,5.670000,5.750000,5.510000,5.520000,5.520000,11225100
2021-05-24,5.640000,5.820000,5.340000,5.440000,5.440000,15289000
2021-05-25,5.500000,5.640000,5.400000,5.480000,5.480000,10788000
2021-05-26,5.510000,6.150000,5.470000,6.020000,6.020000,24477400
2021-05-27,6.050000,6.230000,5.780000,6.220000,6.220000,20500500
2021-05-28,6.270000,6.390000,6.050000,6.170000,6.170000,12883500
2021-06-01,6.180000,6.320000,5.880000,6.320000,6.320000,16662300
2021-06-02,6.220000,6.670000,6.140000,6.640000,6.640000,14671400
2021-06-03,6.470000,6.610000,6.260000,6.300000,6.300000,12755000
2021-06-04,6.430000,7.340000,6.290000,6.870000,6.870000,29900800
2021-06-07,7.710000,8.860000,7.580000,8.400000,8.400000,87424000
2021-06-08,8.990000,9.120000,7.620000,8.300000,8.300000,50223200
2021-06-09,8.390000,8.480000,7.720000,7.770000,7.770000,21717000
2021-06-10,7.800000,8.210000,7.500000,7.640000,7.640000,20539600
2021-06-11,7.830000,7.880000,7.510000,7.580000,7.580000,12482000
2021-06-14,7.630000,8.240000,7.610000,7.820000,7.820000,18126200
2021-06-15,7.970000,8.020000,7.310000,7.370000,7.370000,16342600
2021-06-16,7.380000,7.820000,7.360000,7.780000,7.780000,15922600
2021-06-17,7.600000,8.120000,7.600000,7.860000,7.860000,13726000
2021-06-18,7.800000,7.930000,7.440000,7.620000,7.620000,18474900
2021-06-21,7.460000,7.490000,6.930000,7.220000,7.220000,15973200
2021-06-22,7.160000,7.300000,6.940000,7.130000,7.130000,14577000
2021-06-23,7.200000,7.380000,7.120000,7.250000,7.250000,8964700
2021-06-24,7.320000,7.420000,7.080000,7.150000,7.150000,9736100
2021-06-25,7.200000,7.630000,7.070000,7.520000,7.520000,54554400
2021-06-28,8.030000,8.200000,7.620000,7.730000,7.730000,20733500
2021-06-29,7.830000,7.840000,7.460000,7.540000,7.540000,11540200
2021-06-30,7.440000,7.460000,7.100000,7.330000,7.330000,20456200
2021-07-01,7.310000,7.310000,6.710000,6.820000,6.820000,19434600
2021-07-02,6.850000,6.980000,6.630000,6.720000,6.720000,10551500
2021-07-06,6.810000,6.880000,6.530000,6.580000,6.580000,9851800
2021-07-07,6.570000,6.570000,6.100000,6.290000,6.290000,14553700
2021-07-08,5.940000,6.630000,5.840000,6.560000,6.560000,13016600
2021-07-09,6.520000,6.850000,6.350000,6.750000,6.750000,9112800
2021-07-12,6.690000,6.760000,6.300000,6.520000,6.520000,9105500
2021-07-13,6.430000,6.490000,6.080000,6.090000,6.090000,9491200
2021-07-14,6.120000,6.130000,5.700000,5.720000,5.720000,13299500
2021-07-15,5.740000,6.150000,5.580000,5.840000,5.840000,12898500
2021-07-16,5.840000,5.910000,5.680000,5.770000,5.770000,10158000
2021-07-19,5.610000,6.000000,5.510000,5.900000,5.900000,11557000
2021-07-20,5.920000,6.170000,5.580000,6.140000,6.140000,12479100
2021-07-21,6.100000,6.440000,6.020000,6.370000,6.370000,9289800
2021-07-22,6.380000,6.470000,6.100000,6.160000,6.160000,7508500
2021-07-23,6.120000,6.170000,5.880000,5.970000,5.970000,6537400
2021-07-26,5.920000,6.070000,5.730000,5.870000,5.870000,7339400
2021-07-27,5.790000,5.980000,5.590000,5.780000,5.780000,7277000
2021-07-28,5.840000,6.260000,5.810000,6.190000,6.190000,9196800
2021-07-29,6.220000,6.330000,5.990000,6.090000,6.090000,6718500
2021-07-30,6.000000,6.110000,5.870000,5.930000,5.930000,6183000
2021-08-02,6.000000,6.180000,5.890000,6.030000,6.030000,7655500
2021-08-03,6.130000,6.130000,5.780000,5.920000,5.920000,8188900
2021-08-04,5.900000,6.160000,5.840000,5.860000,5.860000,13014000
2021-08-05,5.710000,6.310000,5.570000,6.240000,6.240000,15156200
2021-08-06,6.220000,6.350000,6.020000,6.320000,6.320000,8110400
2021-08-09,6.280000,6.370000,6.160000,6.180000,6.180000,8408200
2021-08-10,6.200000,6.280000,6.110000,6.120000,6.120000,6542500
2021-08-11,6.130000,6.140000,5.780000,6.040000,6.040000,9577900
2021-08-12,6.000000,6.030000,5.840000,5.960000,5.960000,4586700
2021-08-13,5.950000,5.990000,5.670000,5.690000,5.690000,6977300
2021-08-16,5.650000,5.670000,5.430000,5.550000,5.550000,8890900
2021-08-17,5.460000,5.580000,5.210000,5.340000,5.340000,9679000
2021-08-18,5.470000,5.480000,5.220000,5.240000,5.240000,7884700
2021-08-19,5.180000,5.400000,5.120000,5.140000,5.140000,8009000
2021-08-20,5.150000,5.430000,5.140000,5.390000,5.390000,7369300
2021-08-23,5.420000,5.600000,5.350000,5.570000,5.570000,6438300
2021-08-24,5.610000,5.800000,5.460000,5.780000,5.780000,6665100
2021-08-25,5.720000,6.000000,5.680000,5.830000,5.830000,9702700
2021-08-26,5.880000,5.940000,5.640000,5.670000,5.670000,5412900
2021-08-27,5.690000,5.980000,5.660000,5.880000,5.880000,6923400
2021-08-30,5.930000,5.950000,5.690000,5.730000,5.730000,8038900
2021-08-31,5.720000,5.940000,5.660000,5.830000,5.830000,6977000
2021-09-01,5.790000,5.940000,5.760000,5.890000,5.890000,5476200
2021-09-02,5.940000,6.080000,5.890000,5.960000,5.960000,7768800
2021-09-03,5.920000,5.990000,5.750000,5.860000,5.860000,5030000
2021-09-07,5.830000,5.980000,5.760000,5.790000,5.790000,5841400
2021-09-08,5.790000,5.790000,5.460000,5.520000,5.520000,5716200
2021-09-09,5.520000,5.930000,5.480000,5.790000,5.790000,9969900
2021-09-10,5.790000,5.820000,5.570000,5.570000,5.570000,6154700
2021-09-13,5.600000,5.600000,5.300000,5.350000,5.350000,8515300
2021-09-14,5.380000,5.430000,5.140000,5.200000,5.200000,8383900
2021-09-15,5.180000,5.320000,5.120000,5.280000,5.280000,4405600
2021-09-16,5.360000,5.360000,5.130000,5.290000,5.290000,8568300
2021-09-17,5.430000,5.570000,5.320000,5.560000,5.560000,14268800
2021-09-20,5.320000,5.380000,5.060000,5.170000,5.170000,13106700
2021-09-21,5.220000,5.300000,5.130000,5.190000,5.190000,6526300
2021-09-22,5.270000,5.560000,5.200000,5.460000,5.460000,9949900
2021-09-23,5.520000,5.650000,5.430000,5.640000,5.640000,6746800
2021-09-24,5.550000,5.600000,5.460000,5.490000,5.490000,4663900
2021-09-27,5.560000,5.670000,5.430000,5.540000,5.540000,7471100
2021-09-28,5.490000,5.520000,5.340000,5.460000,5.460000,8927500
2021-09-29,5.470000,5.540000,5.200000,5.210000,5.210000,7475900
2021-09-30,5.250000,5.600000,5.240000,5.500000,5.500000,8672700
2021-10-01,5.470000,5.480000,5.130000,5.220000,5.220000,10259800
2021-10-04,5.240000,5.250000,4.970000,5.060000,5.060000,10292000
2021-10-05,5.050000,5.160000,4.980000,5.100000,5.100000,5321200
2021-10-06,5.000000,5.080000,4.950000,4.960000,4.960000,5853900
2021-10-07,5.010000,5.300000,4.920000,5.180000,5.180000,8175500
2021-10-08,5.190000,5.360000,5.110000,5.150000,5.150000,5427100
2021-10-11,5.150000,5.230000,5.100000,5.110000,5.110000,3366500
2021-10-12,5.300000,5.530000,5.260000,5.360000,5.360000,10385700
2021-10-13,5.420000,5.520000,5.310000,5.360000,5.360000,6025700
2021-10-14,5.440000,5.520000,5.330000,5.340000,5.340000,5600400
2021-10-15,5.410000,5.420000,5.140000,5.160000,5.160000,5838200
2021-10-18,5.150000,5.320000,5.110000,5.200000,5.200000,5804600
2021-10-19,5.280000,5.300000,5.170000,5.270000,5.270000,4693400
2021-10-20,5.260000,5.390000,5.230000,5.340000,5.340000,4502600
2021-10-21,5.310000,5.390000,5.170000,5.200000,5.200000,4327100
2021-10-22,5.130000,5.150000,5.000000,5.150000,5.150000,7363600
2021-10-25,5.150000,5.260000,5.090000,5.190000,5.190000,8592800
2021-10-26,5.190000,5.440000,5.160000,5.160000,5.160000,10505000
2021-10-27,5.170000,5.220000,5.040000,5.050000,5.050000,6888900
2021-10-28,5.080000,5.160000,5.030000,5.140000,5.140000,4811600
2021-10-29,5.140000,5.170000,5.030000,5.080000,5.080000,7169900
2021-11-01,5.080000,5.420000,5.080000,5.400000,5.400000,11129800
2021-11-02,5.600000,6.270000,5.580000,6.080000,6.080000,32968200
2021-11-03,6.150000,6.210000,5.840000,6.120000,6.120000,12888800
2021-11-04,6.200000,6.280000,5.920000,5.930000,5.930000,11332100
2021-11-05,5.720000,5.740000,5.400000,5.520000,5.520000,12193700
2021-11-08,5.490000,5.550000,5.270000,5.430000,5.430000,9205900
2021-11-09,5.360000,5.510000,5.230000,5.280000,5.280000,8279200
2021-11-10,5.190000,5.230000,4.950000,4.990000,4.990000,12342900
2021-11-11,5.090000,5.170000,5.030000,5.100000,5.100000,6370500
2021-11-12,5.110000,5.160000,4.980000,5.120000,5.120000,5165800
2021-11-15,5.110000,5.200000,4.980000,5.000000,5.000000,7593900
2021-11-16,5.020000,5.020000,4.800000,4.910000,4.910000,11814300
2021-11-17,4.870000,4.940000,4.710000,4.720000,4.720000,9087400
2021-11-18,4.750000,4.770000,4.350000,4.420000,4.420000,13036400
2021-11-19,4.400000,4.560000,4.350000,4.410000,4.410000,6820900
2021-11-22,4.480000,4.490000,4.220000,4.340000,4.340000,9361200
2021-11-23,4.330000,4.410000,4.030000,4.130000,4.130000,10924800
2021-11-24,4.020000,4.160000,3.730000,4.090000,4.090000,12813700
2021-11-26,3.970000,4.160000,3.920000,4.000000,4.000000,5381400
2021-11-29,4.040000,4.100000,3.920000,3.930000,3.930000,6526400
2021-11-30,3.930000,4.000000,3.700000,3.910000,3.910000,8852400
2021-12-01,3.980000,4.030000,3.680000,3.700000,3.700000,7947500
2021-12-02,3.720000,3.840000,3.530000,3.710000,3.710000,8549800
2021-12-03,3.680000,3.730000,3.340000,3.400000,3.400000,14190700
2021-12-06,3.230000,3.380000,3.040000,3.340000,3.340000,13822000
2021-12-07,3.440000,3.740000,3.430000,3.620000,3.620000,8522900
2021-12-08,3.600000,3.840000,3.490000,3.730000,3.730000,7944100
2021-12-09,3.690000,3.740000,3.510000,3.520000,3.520000,5679200
2021-12-10,3.550000,3.620000,3.370000,3.420000,3.420000,5318400
2021-12-13,3.430000,3.530000,3.220000,3.330000,3.330000,7950500
2021-12-14,3.210000,3.330000,3.170000,3.260000,3.260000,6124500
2021-12-15,3.260000,3.470000,3.120000,3.420000,3.420000,7216000
2021-12-16,3.460000,3.500000,3.220000,3.290000,3.290000,6815300
2021-12-17,3.160000,3.460000,3.100000,3.400000,3.400000,8439000
2021-12-20,3.240000,3.280000,3.160000,3.210000,3.210000,5177700
2021-12-21,3.250000,3.330000,3.220000,3.290000,3.290000,5767400
2021-12-22,3.280000,3.340000,3.200000,3.270000,3.270000,4172400
2021-12-23,3.290000,3.290000,3.120000,3.240000,3.240000,7893200
2021-12-27,3.250000,3.480000,3.220000,3.330000,3.330000,8308400
2021-12-28,3.290000,3.350000,3.070000,3.080000,3.080000,12806900
2021-12-29,3.110000,3.160000,2.950000,3.000000,3.000000,9611900
2021-12-30,2.980000,3.200000,2.880000,3.120000,3.120000,10437800
2021-12-31,3.060000,3.230000,2.980000,2.990000,2.990000,9696900
2022-01-03,3.050000,3.270000,2.980000,3.230000,3.230000,8871800
2022-01-04,3.230000,3.240000,3.050000,3.110000,3.110000,6944700
2022-01-05,3.060000,3.140000,2.790000,2.810000,2.810000,11446400
2022-01-06,2.880000,2.880000,2.640000,2.760000,2.760000,7316100
2022-01-07,2.770000,2.880000,2.720000,2.720000,2.720000,7047900
2022-01-10,2.690000,2.720000,2.590000,2.710000,2.710000,8573400
2022-01-11,2.710000,2.840000,2.640000,2.740000,2.740000,8171300
2022-01-12,3.010000,3.010000,2.730000,2.780000,2.780000,10982900
2022-01-13,2.820000,2.830000,2.520000,2.540000,2.540000,11947000
2022-01-14,2.520000,2.620000,2.430000,2.550000,2.550000,6804700
2022-01-18,2.500000,2.550000,2.340000,2.350000,2.350000,7445500
2022-01-19,2.380000,2.500000,2.300000,2.320000,2.320000,7984700
2022-01-20,2.310000,2.470000,2.270000,2.290000,2.290000,7608400
